step,tag,value
31544,train/value_scale_mean,101.5924391822693
31544,train/value_scale_std,3.727106714245409
31544,timing/collect_chunk_s,113.34925169870257
31544,timing/train_chunk_s,4.439358735457063
31544,dense_rhs/training_bucket_horizon,3.0
31544,system/heartbeat,1.0
31992,episode/return,724.8572998046875
31992,episode/length,500.0
31993,episode/return,723.4676513671875
31993,episode/length,500.0
31994,episode/return,724.4344482421875
31994,episode/length,500.0
31995,episode/return,664.4720458984375
31995,episode/length,500.0
31996,episode/return,654.1845092773438
31996,episode/length,500.0
31997,episode/return,653.3587036132812
31997,episode/length,500.0
31998,episode/return,719.6492309570312
31998,episode/length,500.0
31999,episode/return,633.20947265625
31999,episode/length,500.0
34048,train/consistency_loss_mean,1.3024640866089798e-05
34048,train/consistency_loss_std,3.6023662561460632e-06
34048,train/continue_loss_mean,0.0
34048,train/continue_loss_std,0.0
34048,train/grad_norm_mean,0.14264778914257362
34048,train/grad_norm_std,0.06114162236524905
34048,train/policy_log_std_mean,-1.3570471118433407
34048,train/policy_log_std_std,0.7417820424947579
34048,train/policy_loss_mean,-0.5162994068461104
34048,train/policy_loss_std,0.015451032476743223
34048,train/reward_loss_mean,0.2608964412737959
34048,train/reward_loss_std,0.007216774881490934
34048,train/total_loss_mean,0.05462849637666069
34048,train/total_loss_std,0.001109961730158874
34048,train/value_loss_mean,0.28278358904317547
34048,train/value_loss_std,0.009005344301506464
34048,train/value_scale_mean,105.46218148130959
34048,train/value_scale_std,0.5729433648166984
34048,timing/collect_chunk_s,113.51763596199453
34048,timing/train_chunk_s,4.426322964951396
34048,dense_rhs/training_bucket_horizon,3.0
34048,system/heartbeat,1.0
35000,eval/return_mean,773.9901123046875
35000,eval/return_std,0.3879953622817993
35000,eval/return_max,774.6806640625
35000,eval/return_min,773.40234375
35000,timing/eval_s,6.238715462386608
35000,eval/selected_horizon,3.0
35000,eval/training_bucket_horizon,3.0
35000,system/heartbeat,1.0
35992,episode/return,712.9277954101562
35992,episode/length,500.0
35993,episode/return,712.1248779296875
35993,episode/length,500.0
35994,episode/return,710.9061889648438
35994,episode/length,500.0
35995,episode/return,712.7782592773438
35995,episode/length,500.0
35996,episode/return,710.9177856445312
35996,episode/length,500.0
35997,episode/return,710.5589599609375
35997,episode/length,500.0
35998,episode/return,713.0170288085938
35998,episode/length,500.0
35999,episode/return,712.5162963867188
35999,episode/length,500.0
36552,train/consistency_loss_mean,1.1356149424189558e-05
36552,train/consistency_loss_std,4.062321496641786e-06
36552,train/continue_loss_mean,0.0
36552,train/continue_loss_std,0.0
36552,train/grad_norm_mean,0.12038361445402566
36552,train/grad_norm_std,0.06079602442124701
36552,train/policy_log_std_mean,-1.2919064493605885
36552,train/policy_log_std_std,0.7171409506353525
36552,train/policy_loss_mean,-0.5522184368139639
36552,train/policy_loss_std,0.012571758215280391
36552,train/reward_loss_mean,0.2605309764417216
36552,train/reward_loss_std,0.00730364322153479
36552,train/total_loss_mean,0.056306726456926276
36552,train/total_loss_std,0.0014616208655576053
36552,train/value_loss_mean,0.3002650533050013
36552,train/value_loss_std,0.014732444638324935
36552,train/value_scale_mean,104.75647262719492
36552,train/value_scale_std,0.3503236410062823
36552,timing/collect_chunk_s,108.52270874753594
36552,timing/train_chunk_s,4.436011152341962
36552,dense_rhs/training_bucket_horizon,3.0
36552,system/heartbeat,1.0
39056,train/consistency_loss_mean,1.053538680673646e-05
39056,train/consistency_loss_std,2.8428420949332822e-06
39056,train/continue_loss_mean,0.0
39056,train/continue_loss_std,0.0
39056,train/grad_norm_mean,0.11140611653510755
39056,train/grad_norm_std,0.04840366046051846
39056,train/policy_log_std_mean,-1.3134312427843722
39056,train/policy_log_std_std,0.6449163187611942
39056,train/policy_loss_mean,-0.5751364714802264
39056,train/policy_loss_std,0.010938553282189862
